F0	F10	F20	F30	F40	F50	F60
2L.4468628760391	0.126582278481013	0.193548387096774	0.151515151515152	0.0921052631578947	0.15929203539823	0.216216216216216	0.242424242424242
2L.9917411065276	0.043046357615894	0.0330578512396694	0.0645161290322581	0.0675675675675676	0.0149253731343284	0.0797101449275362	0.075187969924812
2L.2051752717955	0.028169014084507	0	0	0	0	0	0
2L.632897923672	0.294117647058824	0.344827586206897	0.453488372093023	0.485294117647059	0.380952380952381	0.244897959183673	0.391891891891892
2L.6481271671301	0.10126582278481	0.0705882352941176	0.0843373493975904	0	0	0	0
2L.8589699706279	0.0123839009287926	0.0078125	0	0	0	0	0
2L.7147579260694	0.0209205020920502	0.0215827338129496	0.0393700787401575	0.0431034482758621	0.0217391304347826	0.0210526315789474	0.0252100840336134
2L.556378692132	0.205438066465257	0.148148148148148	0.105263157894737	0.168604651162791	0.196969696969697	0.207100591715976	0.267123287671233
2L.2845329171875	0.0686695278969957	0.00980392156862745	0.0526315789473684	0.0121951219512195	0	0	0
2L.3366657023107	0.074468085106383	0.0822784810126582	0.0933333333333333	0.0350877192982456	0.08	0.141732283464567	0.126126126126126
2L.3195298007623	0.00940438871473354	0	0.0357142857142857	0.00947867298578199	0	0	0
2L.3270496291612	0.0101694915254237	0	0	0	0	0	0
2L.2050120795600	0.441441441441441	0.5	0.545454545454545	0.25	0.338461538461538	0.359375	0.313432835820896
2L.4420018002517	0.313829787234043	0.393617021276596	0.375	0.344827586206897	0.317829457364341	0.277777777777778	0.230088495575221
2L.58691224518	0.276073619631902	0.219047619047619	0.211267605633803	0.247058823529412	0.188235294117647	0.234567901234568	0.148148148148148
2L.296909942282	0.00869565217391304	0	0	0	0	0	0
2L.6995828515813	0.0105263157894737	0	0	0	0	0	0.00775193798449612
2L.1935001187292	0.032258064516129	0.0803571428571429	0.111940298507463	0.0795454545454545	0.154471544715447	0.174418604651163	0.120418848167539
2L.3472987663916	0.00617283950617284	0.0289855072463768	0.0561797752808989	0.0437158469945355	0.0410958904109589	0.0382513661202186	0.0429447852760736
2L.333145238742	0.0669456066945607	0.036036036036036	0	0.00709219858156028	0.0454545454545455	0	0
2L.8066393010439	0.487394957983193	0.447761194029851	0.350877192982456	0.435897435897436	0.464285714285714	0.569444444444444	0.472972972972973
2L.2844907211801	0.00460829493087558	0	0	0	0	0	0
2L.8492362529176	0.00483091787439614	0	0.00740740740740741	0	0	0	0.00746268656716418
2L.3015491976937	0.0672514619883041	0.0287769784172662	0	0	0	0	0
2L.1122805010366	0.104575163398693	0.208791208791209	0.0952380952380952	0.0706521739130435	0.0422535211267606	0.0454545454545455	0.0972222222222222
2L.8906610650958	0.00578034682080925	0	0.105263157894737	0.107692307692308	0.0303030303030303	0.0857142857142857	0.051948051948052
2L.4061749447986	0.0359281437125748	0.0212765957446809	0.0847457627118644	0.0273972602739726	0.00892857142857143	0	0
2L.6626517952017	0	0	0	0.0168067226890756	0	0	0
2L.9983867191037	0.0181818181818182	0.024390243902439	0.0285714285714286	0.00467289719626168	0	0.00694444444444444	0.0179640718562874
2L.2592627997357	0.320512820512821	0.342592592592593	0.321428571428571	0.185567010309278	0.188118811881188	0.171052631578947	0.194805194805195
2L.9112684881758	0.166666666666667	0.142857142857143	0.105691056910569	0.0925925925925926	0.101851851851852	0.101449275362319	0.185185185185185
2L.8653113953093	0	0.025974025974026	0.045045045045045	0.0702702702702703	0.179487179487179	0.223404255319149	0.395061728395062
2L.4545590525874	0.25	0.21259842519685	0.195876288659794	0.253521126760563	0.315789473684211	0.424657534246575	0.4
2L.1360519541587	0.255434782608696	0.256198347107438	0.213114754098361	0.202702702702703	0.313253012048193	0.363636363636364	0.29126213592233
2L.1643204719962	0.205714285714286	0.0818181818181818	0.0136986301369863	0	0.0161290322580645	0.00952380952380952	0.010989010989011
2L.2720541949009	0.00396825396825397	0.0072992700729927	0.031496062992126	0	0	0	0
2L.8049766993123	0.00884955752212389	0.0126582278481013	0.0555555555555556	0.0208333333333333	0.00854700854700855	0	0.027027027027027
2L.8576927181747	0.0048780487804878	0.0106382978723404	0	0	0	0	0
2L.9201446871412	0.0239043824701195	0.134328358208955	0.0384615384615385	0.05	0.05	0.01	0.0266666666666667
2L.8623818431129	0.00531914893617021	0.0208333333333333	0	0	0	0	0
2L.3606365349740	0.421052631578947	0.423913043478261	0.302752293577982	0.222222222222222	0.293478260869565	0.266666666666667	0.159090909090909
2L.1074257481564	0.00515463917525773	0.00763358778625954	0.0151515151515152	0.0149253731343284	0.0476190476190476	0.0229885057471264	0.0540540540540541
2L.1283283261317	0.258241758241758	0.166666666666667	0.185840707964602	0.0813953488372093	0.11	0.169354838709677	0.13013698630137
2L.8114454578930	0	0	0	0	0	0	0.0465116279069767
2L.3777880319889	0.397196261682243	0.383838383838384	0.391752577319588	0.518867924528302	0.384615384615385	0.413793103448276	0.295652173913043
2L.3870294050404	0.422222222222222	0.27906976744186	0.263803680981595	0.451612903225806	0.19047619047619	0.142857142857143	0.0869565217391304
2L.326413032578	0.00746268656716418	0	0	0	0	0	0
2L.4665132582646	0.106741573033708	0.0833333333333333	0.1	0.128205128205128	0.145833333333333	0.146666666666667	0.0555555555555556
2L.2272180128285	0.0116959064327485	0.00900900900900901	0	0.0382165605095541	0	0	0
2L.3565687468109	0.225433526011561	0.241071428571429	0.148648648648649	0.265765765765766	0.1	0.141592920353982	0.043859649122807
2L.7275459449366	0.264705882352941	0.178571428571429	0.175438596491228	0.235294117647059	0.205128205128205	0.177215189873418	0.139784946236559
2L.3012204097973	0.0105263157894737	0	0	0	0	0	0
2L.8226638860815	0.0459770114942529	0.04	0.0574712643678161	0.0151515151515152	0.027027027027027	0.0140845070422535	0.0119047619047619
2L.9406244369273	0.0212121212121212	0	0	0	0	0	0
2L.2028256946394	0.0317460317460317	0	0	0	0	0	0
2L.8178690894425	0	0	0.0136986301369863	0.00574712643678161	0	0	0
2L.9096903432757	0.0176678445229682	0.0145985401459854	0	0	0	0	0
2L.6463071360477	0.0728744939271255	0.0348837209302326	0.00719424460431655	0	0	0	0
2L.8460483138156	0.00531914893617021	0	0	0	0	0	0
2L.5547484882751	0.0357142857142857	0.06	0.112676056338028	0.12	0.112903225806452	0.0384615384615385	0.03125
2L.3196352790423	0.0177514792899408	0.0348837209302326	0.0102040816326531	0.0196078431372549	0.036144578313253	0.0126582278481013	0.0606060606060606
2L.4684265326971	0.129411764705882	0.0917431192660551	0.164556962025316	0.0919540229885057	0.161538461538462	0.253012048192771	0.114942528735632
2L.9373598595625	0.0517241379310345	0.00826446280991736	0.012987012987013	0.0294117647058824	0.0201342281879195	0	0.00884955752212389
2L.5911222934658	0	0.00757575757575758	0	0	0	0	0
2L.2529601585143	0.22108843537415	0.155038759689922	0.0725806451612903	0.0666666666666667	0.0697674418604651	0.106382978723404	0.0833333333333333
2L.9885381295790	0.00471698113207547	0	0.016	0.0108695652173913	0	0	0
2L.7746102213746	0.0934065934065934	0.0642857142857143	0.0833333333333333	0.0696517412935323	0.0677966101694915	0.0387596899224806	0
2L.2578658875585	0.0335570469798658	0.0694444444444444	0.0891089108910891	0.0875	0.127906976744186	0.166666666666667	0.159574468085106
2L.346371305852	0.00495049504950495	0	0	0	0	0	0
2L.8792853103876	0.0043859649122807	0.0272727272727273	0.0892857142857143	0.0290697674418605	0.0178571428571429	0.0330578512396694	0.0470588235294118
2L.6995925959105	0.0292682926829268	0	0.0172413793103448	0	0	0	0
2L.2950717772527	0.216374269005848	0.213114754098361	0.345794392523364	0.30188679245283	0.117117117117117	0.132530120481928	0.117647058823529
2L.7873223549273	0.0140449438202247	0.00675675675675676	0.027027027027027	0.00529100529100529	0	0	0
2L.964322636385	0.00467289719626168	0	0	0	0	0	0
2L.754675544360	0.04375	0.0645161290322581	0.0461538461538462	0.11731843575419	0.24	0.156626506024096	0.16
2L.8424820948470	0.195238095238095	0.107142857142857	0.213235294117647	0.216867469879518	0.126582278481013	0.164383561643836	0.120879120879121
2L.3432823214528	0.06	0.0285714285714286	0.104347826086957	0.0833333333333333	0.0363636363636364	0.0606060606060606	0.0784313725490196
2L.1009019195122	0.0119047619047619	0	0	0	0	0	0
2L.2613649417493	0.102222222222222	0.243697478991597	0.128834355828221	0.0222222222222222	0.0229885057471264	0.0240963855421687	0.0252100840336134
2L.2919224900750	0.463157894736842	0.5	0.427536231884058	0.413502109704641	0.561224489795918	0.5	0.406015037593985
2L.4247166184552	0.0119760479041916	0.00684931506849315	0.0344827586206897	0.0170454545454545	0.0120481927710843	0.0179640718562874	0.0215827338129496
2L.73243960201	0.0445859872611465	0.114285714285714	0.0692307692307692	0.0133333333333333	0.0222222222222222	0.03125	0
2L.6387889241435	0	0	0.032258064516129	0.0050761421319797	0	0.00854700854700855	0.0120481927710843
2L.1814783258196	0.175438596491228	0.230769230769231	0.258278145695364	0.116666666666667	0.175324675324675	0.194174757281553	0.189189189189189
2L.3888415465262	0.0103626943005181	0.0169491525423729	0.0147783251231527	0	0	0	0
2L.7253875274335	0.0053475935828877	0	0	0	0	0	0
2L.5908387692114	0.145833333333333	0.205882352941176	0.157894736842105	0.271186440677966	0.272727272727273	0.428571428571429	0.434782608695652
2L.4113851200127	0.530927835051546	0.454545454545455	0.552631578947368	0.596938775510204	0.409395973154362	0.489208633093525	0.420634920634921
2L.777803766915	0.0454545454545455	0.0103092783505155	0	0.0125	0	0	0.0108695652173913
2L.7131969495632	0.0545454545454545	0.0531914893617021	0.0847457627118644	0.028169014084507	0.112244897959184	0.12987012987013	0.123595505617978
2L.8284957934994	0.347014925373134	0.444444444444444	0.431372549019608	0.423841059602649	0.340909090909091	0.340579710144928	0.25
2L.4609618601315	0.417061611374408	0.412844036697248	0.341040462427746	0.391304347826087	0.381443298969072	0.4125	0.420289855072464
2L.1679801086544	0.05	0.0178571428571429	0.0258620689655172	0	0	0	0
2L.9602991055745	0.290983606557377	0.195488721804511	0.109375	0.0887573964497041	0.172413793103448	0.072289156626506	0.0661157024793388
2L.9277080805784	0.309090909090909	0.231884057971014	0.263157894736842	0.247422680412371	0.401639344262295	0.458333333333333	0.375
2L.8050212186749	0.0268817204301075	0	0.0144927536231884	0.0121951219512195	0.0240963855421687	0.025	0.00869565217391304
2L.9543069084450	0	0.0188679245283019	0.0143884892086331	0	0	0	0
2L.7764711928264	0.0714285714285714	0.08	0.0985915492957746	0.172839506172839	0.152173913043478	0.192771084337349	0.129032258064516
2L.742266765705	0.131979695431472	0.177215189873418	0.172131147540984	0.103448275862069	0.0119047619047619	0.102564102564103	0.125
2L.6436415765632	0.00641025641025641	0	0	0	0	0	0
2L.9530241614196	0.0528846153846154	0.056	0.0606060606060606	0.0673076923076923	0.0319148936170213	0.0434782608695652	0.1
2L.8598171997078	0.0942408376963351	0.0777777777777778	0.089171974522293	0.155844155844156	0.134920634920635	0.105882352941176	0.111111111111111
2L.1453760888684	0.169014084507042	0.140625	0.185840707964602	0.127777777777778	0.242424242424242	0.195876288659794	0.123595505617978
2L.9041203923076	0.135135135135135	0.14018691588785	0.173553719008264	0.219512195121951	0.315217391304348	0.30327868852459	0.339622641509434
2L.8688808056114	0.019047619047619	0.0144927536231884	0	0	0	0	0
2L.9785399093757	0.0451977401129944	0	0	0	0	0	0
2L.3051234713867	0.0783410138248848	0.118279569892473	0.170454545454545	0.0454545454545455	0	0.0133333333333333	0.0425531914893617
2L.7873977883122	0.00793650793650794	0	0	0	0	0	0
2L.9460272082712	0.024390243902439	0.0608695652173913	0.00826446280991736	0	0	0	0
2L.6968605712902	0.0581395348837209	0	0.0126582278481013	0	0	0	0
2L.5247666254694	0.291666666666667	0.431506849315068	0.415094339622642	0.300884955752212	0.487603305785124	0.54954954954955	0.53416149068323
2L.2834091856646	0.0714285714285714	0.234567901234568	0.105882352941176	0.133720930232558	0.178571428571429	0.178571428571429	0.24
2L.9499354195606	0.004739336492891	0.00609756097560976	0.00632911392405063	0	0.00793650793650794	0.016260162601626	0.00591715976331361
2L.948630002707	0.215686274509804	0.171428571428571	0.305343511450382	0.28	0.419047619047619	0.416666666666667	0.389312977099237
2L.8028406730221	0.0647482014388489	0.00833333333333333	0.0967741935483871	0.0421052631578947	0.0223880597014925	0.0377358490566038	0.0340909090909091
2L.9638132134253	0.418118466898955	0.37410071942446	0.413223140495868	0.547619047619048	0.290076335877863	0.326732673267327	0.168674698795181
2L.617139808157	0.0398009950248756	0.0396039603960396	0.0352112676056338	0	0	0	0
2L.1245408191618	0.0223880597014925	0.0111111111111111	0	0	0	0	0
2L.5449212956391	0.0050761421319797	0	0	0	0	0	0
2L.5649910104744	0.354477611940299	0.391304347826087	0.442857142857143	0.280701754385965	0.29559748427673	0.344444444444444	0.253731343283582
2L.8810459567456	0.292682926829268	0.133858267716535	0.119318181818182	0.0967741935483871	0.0845070422535211	0.0238095238095238	0.0470588235294118
2L.4728158463469	0.0298507462686567	0.0707964601769911	0.278846153846154	0.135135135135135	0.231481481481481	0.222222222222222	0.206349206349206
2L.6694469517430	0.466666666666667	0.293333333333333	0.37007874015748	0.409090909090909	0.326530612244898	0.267605633802817	0.5
2L.7422371826313	0	0	0	0.0053475935828877	0	0	0
2L.6717523321780	0.160377358490566	0.133858267716535	0.093167701863354	0.0547945205479452	0.0357142857142857	0.04	0.0131578947368421
2L.7591621091490	0.00555555555555556	0	0	0	0	0	0
2L.1015220313390	0.188284518828452	0.219047619047619	0.24203821656051	0.2	0.135338345864662	0.153846153846154	0.207865168539326
2L.6490751455327	0.481927710843373	0.320388349514563	0.378378378378378	0.350877192982456	0.485294117647059	0.5	0.459016393442623
